Date,Time,CO,Benzene,NO2,Temperature,Humidity(%),Traffic_Volume,Particulate_Matter
20.10.04,23:00:00,3.9,19.5,109,21.9,68.3,,
11.09.04,13:00:00,-200.0,9.1,-200,32.7,22.7,,
01.10.04,11:00:00,3.4,19.9,137,23.8,54.7,,
17.03.04,18:00:00,5.0,27.0,158,25.9,16.0,41.75351717,55.46156766
04.04.04,13:00:00,-200.0,7.1,-200,25.6,32.1,85.02012766,113.7540223
15.07.04,20:00:00,4.8,23.8,193,28.7,26.2,,
11.02.05,2:00:00,2.0,-200.0,116,-200.0,-200.0,,
07.03.05,3:00:00,0.6,0.7,-200,5.3,51.0,,
03.07.04,18:00:00,1.2,7.3,89,35.3,17.0,,
29.06.04,15:00:00,2.5,15.3,141,37.2,25.6,,
13.10.04,19:00:00,-200.0,10.6,-200,14.7,57.8,,
28.07.04,3:00:00,-200.0,2.2,-200,23.6,33.2,,
14.07.04,23:00:00,1.4,9.0,101,25.3,30.0,,
14.10.04,17:00:00,-200.0,12.4,-200,19.7,56.6,,
11.07.04,18:00:00,0.7,4.5,65,29.6,24.1,,
08.01.05,4:00:00,1.2,3.4,88,7.9,69.3,,
06.11.04,23:00:00,1.6,7.9,73,18.8,59.1,,
20.03.05,10:00:00,1.5,6.2,123,15.4,54.0,,
28.01.05,23:00:00,1.1,-200.0,91,-200.0,-200.0,,
05.08.04,14:00:00,-200.0,6.6,84,34.2,30.8,,
22.04.04,2:00:00,-200.0,3.0,-200,16.0,53.5,180.8160627,205.5651743
08.11.04,2:00:00,0.7,1.7,42,11.1,55.6,,
12.11.04,23:00:00,1.5,6.1,107,15.9,59.6,,
16.08.04,16:00:00,1.0,5.0,60,39.7,15.3,,
12.01.05,5:00:00,1.0,4.7,83,10.0,74.8,,
24.07.04,7:00:00,1.0,8.1,65,25.2,49.1,,
01.04.05,4:00:00,-200.0,0.8,41,13.7,48.8,,
21.08.04,13:00:00,-200.0,3.0,-200,31.0,28.9,,
26.03.05,9:00:00,2.1,10.9,106,17.4,65.0,,
06.04.04,12:00:00,2.6,14.5,91,20.9,36.6,150.0561851,146.3339319
03.06.04,22:00:00,-200.0,7.8,-200,22.1,43.9,,
29.05.04,23:00:00,2.7,13.7,112,19.0,38.2,,
03.10.04,14:00:00,-200.0,6.0,-200,27.4,42.8,,
19.02.05,18:00:00,1.7,7.3,168,11.6,33.3,,
16.09.04,22:00:00,1.9,9.6,-200,21.4,54.8,,
14.11.04,15:00:00,0.5,1.1,48,10.5,37.9,,
24.03.04,9:00:00,4.4,23.7,110,11.2,56.9,88.70992562,103.582025
29.03.04,23:00:00,1.0,2.8,74,12.4,31.9,73.39535043,110.3459062
14.05.04,4:00:00,-200.0,6.1,87,15.5,59.9,114.4236937,60.2132826
10.03.05,5:00:00,0.8,3.3,95,4.2,79.1,,
31.08.04,5:00:00,-200.0,4.3,-200,22.0,64.5,,
31.10.04,3:00:00,1.0,4.6,-200,19.9,68.4,,
14.10.04,21:00:00,-200.0,7.3,-200,16.4,77.1,,
02.07.04,10:00:00,2.8,15.6,158,33.6,28.7,,
05.11.04,15:00:00,4.3,26.4,138,24.2,44.0,,
30.12.04,12:00:00,-200.0,4.4,-200,12.6,31.7,,
27.04.04,21:00:00,2.5,12.5,122,19.9,37.8,183.2670895,216.7272693
16.03.05,9:00:00,4.2,25.2,161,11.7,54.3,,
13.04.04,20:00:00,3.5,14.6,129,14.1,49.6,122.3766687,168.7306141
18.11.04,11:00:00,4.7,20.2,278,13.4,52.8,,
15.06.04,21:00:00,2.2,11.5,109,25.3,39.4,,
21.09.04,10:00:00,4.4,24.2,191,25.8,44.2,,
09.08.04,19:00:00,2.2,-200.0,96,-200.0,-200.0,,
02.07.04,19:00:00,3.0,17.3,161,31.4,18.5,,
21.10.04,17:00:00,3.2,20.9,101,27.0,51.0,,
30.09.04,6:00:00,-200.0,8.1,-200,17.6,57.6,,
20.03.04,2:00:00,1.3,4.1,81,13.9,55.6,23.2403391,56.68859797
03.05.04,8:00:00,4.7,26.5,109,16.9,66.1,51.26534787,125.7686966
14.06.04,11:00:00,1.2,5.5,73,23.9,42.1,,
06.03.05,10:00:00,0.7,1.4,87,9.4,39.9,,
26.09.04,17:00:00,2.7,10.3,95,23.1,27.0,,
26.11.04,17:00:00,7.7,36.0,233,15.5,61.2,,
02.05.04,5:00:00,0.6,2.6,37,14.7,65.2,37.19690534,153.2253246
11.04.04,22:00:00,1.1,2.9,74,14.5,39.0,139.49232969999997,147.1926459
28.04.04,20:00:00,5.3,24.9,162,21.8,43.6,184.6749628,207.3963732
16.02.05,22:00:00,2.8,10.7,216,5.0,46.6,,
24.03.05,15:00:00,2.0,10.3,123,24.1,33.3,,
02.06.04,5:00:00,-200.0,2.4,23,20.0,63.7,,
11.05.04,8:00:00,5.5,31.0,120,14.5,59.8,119.7149966,67.51680616
17.04.04,14:00:00,-200.0,3.9,-200,19.3,46.6,128.84822509999998,157.3768141
15.01.05,12:00:00,2.7,11.6,177,7.5,64.4,,
16.11.04,14:00:00,2.8,11.7,161,18.1,21.0,,
10.10.04,2:00:00,1.4,8.1,52,23.8,60.2,,
08.11.04,17:00:00,3.2,17.0,156,13.0,39.3,,
13.01.05,1:00:00,2.5,10.2,120,8.5,76.9,,
30.09.04,11:00:00,-200.0,23.5,-200,21.3,50.1,,
19.07.04,6:00:00,0.8,8.3,89,21.4,46.5,,
10.10.04,9:00:00,1.0,5.6,51,24.1,59.0,,
05.05.04,2:00:00,0.5,1.5,28,15.7,64.5,52.43756913,134.8134304
15.06.04,22:00:00,2.0,10.1,101,23.9,40.9,,
29.01.05,7:00:00,0.5,0.9,58,1.6,51.0,,
05.04.04,16:00:00,2.0,9.6,82,22.2,38.3,149.5062501,168.34863049999996
16.12.04,4:00:00,-200.0,-200.0,81,-200.0,-200.0,,
01.04.05,8:00:00,1.9,6.3,150,16.1,41.0,,
22.10.04,8:00:00,4.1,28.0,91,20.4,66.7,,
29.10.04,12:00:00,4.2,24.9,116,20.2,86.5,,
03.11.04,17:00:00,3.2,16.3,107,25.1,47.6,,
26.12.04,22:00:00,1.0,3.8,106,11.8,77.5,,
01.12.04,20:00:00,2.6,10.1,113,11.8,76.1,,
01.06.04,19:00:00,4.8,27.9,101,21.5,65.8,,
13.01.05,0:00:00,2.9,11.5,123,9.4,75.0,,
13.05.04,6:00:00,1.0,4.5,85,15.9,55.3,125.7470499,60.09942887
12.01.05,17:00:00,3.4,17.6,173,14.6,54.0,,
26.08.04,9:00:00,1.7,-200.0,87,-200.0,-200.0,,
01.09.04,18:00:00,4.0,21.5,171,33.3,23.6,,
12.12.04,14:00:00,3.4,12.7,169,16.0,35.8,,
21.07.04,12:00:00,-200.0,12.4,138,38.9,15.9,,
22.02.05,12:00:00,2.0,9.1,208,11.4,48.9,,
21.09.04,20:00:00,4.4,20.0,173,24.8,49.0,,
27.10.04,8:00:00,4.9,28.5,119,18.0,74.8,,
12.03.05,5:00:00,-200.0,1.5,55,9.8,68.9,,
23.12.04,21:00:00,7.2,26.3,228,6.3,57.9,,
05.10.04,23:00:00,-200.0,8.7,-200,22.4,58.3,,
24.10.04,0:00:00,2.9,15.5,97,19.7,70.1,,
