CO,Benzene,NO2,Temperature,Humidity(%),Datetime
2.4,9.7,-200,11.6,63.4,2004-03-14 03:00:00
1.0,2.7,75,15.7,59.5,2004-11-13 02:00:00
1.6,6.1,141,16.3,43.5,2005-03-14 11:00:00
2.0,8.2,174,7.4,31.8,2005-02-15 22:00:00
-200.0,4.8,-200,17.9,44.8,2004-09-05 09:00:00
2.4,10.0,147,19.6,49.4,2005-03-29 11:00:00
10.2,47.7,192,13.7,52.8,2004-11-17 18:00:00
3.3,15.9,174,36.0,28.0,2004-07-31 11:00:00
1.5,7.5,72,14.3,60.5,2004-07-05 06:00:00
1.1,6.3,74,37.8,18.5,2004-06-27 12:00:00
-200.0,9.5,106,36.4,16.8,2004-07-29 13:00:00
-200.0,8.8,-200,18.7,73.4,2004-10-20 04:00:00
1.3,4.5,87,10.4,61.1,2004-03-24 23:00:00
6.7,27.3,224,2.8,64.2,2005-02-02 09:00:00
1.9,12.3,120,36.4,15.1,2004-11-06 16:00:00
1.4,5.7,109,21.5,35.7,2005-03-20 17:00:00
0.4,2.3,74,12.9,56.0,2005-03-24 06:00:00
1.3,5.3,115,24.0,19.3,2005-03-04 11:00:00
1.3,7.3,75,27.6,35.1,2004-05-06 15:00:00
-200.0,4.8,-200,17.8,46.7,2004-09-05 16:00:00
-200.0,2.8,22,19.8,64.7,2004-02-06 06:00:00
-200.0,10.7,-200,38.2,23.8,2004-04-08 17:00:00
2.3,11.4,127,13.4,48.4,2004-07-11 21:00:00
3.6,-200.0,170,-200.0,-200.0,2005-04-01 09:00:00
-200.0,13.8,135,28.5,32.1,2004-07-29 21:00:00
1.9,10.1,97,25.1,20.8,2004-05-17 12:00:00
1.3,5.9,88,13.6,53.0,2004-03-25 12:00:00
0.5,1.1,44,10.6,34.9,2004-11-15 01:00:00
2.5,14.5,124,30.2,37.6,2004-06-30 21:00:00
1.1,3.3,121,10.3,35.0,2005-01-16 17:00:00
1.5,5.8,174,13.1,32.0,2005-02-04 00:00:00
2.2,-200.0,83,-200.0,-200.0,2004-06-21 01:00:00
0.9,5.7,79,19.4,50.3,2004-09-30 00:00:00
0.6,5.8,60,27.5,34.0,2004-08-07 02:00:00
0.4,1.4,-200,16.0,53.7,2004-05-13 03:00:00
1.4,5.1,90,15.5,37.0,2004-04-25 21:00:00
1.1,7.5,69,13.9,60.7,2004-04-28 06:00:00
3.9,23.4,146,25.8,44.8,2004-09-30 16:00:00
2.0,17.0,139,14.1,66.0,2005-10-01 17:00:00
4.3,17.2,191,16.3,58.1,2004-11-18 21:00:00
1.2,7.3,89,35.3,17.0,2004-03-07 18:00:00
1.6,9.4,82,23.6,43.2,2004-09-17 15:00:00
0.2,2.3,68,21.4,35.7,2004-09-09 04:00:00
-200.0,0.7,75,-1.4,44.9,2005-02-03 04:00:00
-200.0,18.7,-200,23.0,37.5,2004-04-20 12:00:00
1.7,10.0,79,26.6,50.8,2004-07-24 08:00:00
